numero,variable,region,surprisal
2,0_Head,8,14.633506888898964
2,1_N_Head,1,4.5816155191678
2,1_N_Head,2,12.672769598255508
2,1_N_Head,3,16.873098794879766
2,1_N_Head,4,18.03727693892583
2,1_N_Head,5,17.22171137316362
2,1_N_Head,6,19.763710570847334
2,1_N_Head,7,17.378041490696756
2,1_N_Head,8,15.081668284174116
2,1_G_Head,1,12.3433312872113
2,1_G_Head,2,12.569933283430245
2,1_G_Head,3,15.240009546466505
2,1_G_Head,4,16.095216468599183
2,1_G_Head,5,12.57443998632411
2,1_G_Head,6,17.31259014154279
2,1_G_Head,7,16.29145187661856
2,1_G_Head,8,14.83024729724375
2,2_Head,1,4.921851635980201
2,2_Head,2,12.29381281390671
2,2_Head,3,16.888085419475438
2,2_Head,4,18.017860690996606
2,2_Head,5,12.855051328975685
2,2_Head,6,17.732417609136732
2,2_Head,7,17.124017759484254
2,2_Head,8,15.149513252804818
2,1_G_Head,1,6.146261465771011
2,1_G_Head,2,12.069397367793346
2,1_G_Head,3,15.55084543390637
2,1_G_Head,4,15.971500343956839
2,1_G_Head,5,16.689602726801557
2,1_G_Head,6,19.311440196987466
2,1_G_Head,7,17.60475875761162
2,1_G_Head,8,16.530886237502703
2,2_Head,1,3.4654890778387504
2,2_Head,2,13.155518532614696
2,2_Head,3,16.873098794879766
2,2_Head,4,17.70058150330585
2,2_Head,5,16.139049349163123
2,2_Head,6,19.745791397208272
2,2_Head,7,17.988592550009155
2,2_Head,8,15.28527256589291
2,0_Head,1,5.4021928252092986
2,0_Head,2,12.196832193831838
2,0_Head,3,15.240009546466505
2,0_Head,4,16.104473530100616
2,0_Head,5,12.829335127851662
2,0_Head,6,16.96722007855862
2,0_Head,7,17.561799405149145
2,0_Head,8,16.92642406321463
2,1_N_Head,1,3.205481307183118
2,1_N_Head,2,12.348867703403368
2,1_N_Head,3,16.888085419475438
2,1_N_Head,4,17.829494043495306
2,1_N_Head,5,12.521033180158877
2,1_N_Head,6,17.329662297071685
2,1_N_Head,7,18.17661847293595
2,1_N_Head,8,15.495212283484108
2,2_Embedd,1,10.961365292686262
2,2_Embedd,2,13.286496852147634
2,2_Embedd,3,14.835324274883414
2,2_Embedd,4,17.653855442198573
2,2_Embedd,5,14.127449576329841
2,2_Embedd,6,18.073081599772777
2,2_Embedd,7,16.787188832624413
